time,open,high,low,close,Volume,Volume MA,Accumulation/Distribution,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-01-14T09:30:00-05:00,18.67,18.67,18.66,18.66,5191,2216.8,-95648.57689,29.89583298,34.24303721,NaN,NaN
2022-01-14T09:31:00-05:00,18.6296,18.6296,18.6296,18.6296,100,2186.8,-95648.57689,27.22170518,33.54965457,NaN,NaN
2022-01-14T09:33:00-05:00,18.7,18.71,18.7,18.71,300,2108.65,-95348.57689,41.99843573,33.98537014,NaN,NaN
2022-01-14T09:35:00-05:00,18.71,18.77,18.68,18.77,1700,2108,-93648.57689,50.13517922,34.74265784,NaN,NaN
2022-01-14T09:36:00-05:00,18.8298,18.8483,18.81,18.8483,6400,2223,-87248.57689,58.34720435,36.93210654,NaN,NaN
2022-01-14T09:37:00-05:00,18.85,19.02,18.85,19.015,11857,2722.5,-76089.04748,69.76389767,40.17723924,NaN,NaN
2022-01-14T09:38:00-05:00,19,19.15,18.95,19.09,9537,3184.35,-72274.24748,73.30858638,43.56028093,NaN,NaN
2022-01-14T09:39:00-05:00,19.13,19.14,19.1069,19.13,2600,3305.3,-71245.24445,74.99244977,46.33089167,NaN,NaN
2022-01-14T09:40:00-05:00,19.09,19.09,19.09,19.09,100,3289,-71245.24445,70.22165202,48.96385313,NaN,NaN
2022-01-14T09:41:00-05:00,19.115,19.115,19.08,19.1,4744,3446.2,-70567.53017,70.723097,51.9774296,NaN,NaN
2022-01-14T09:42:00-05:00,19.1305,19.1305,19.07,19.07,5700,3606.9,-76267.53017,67.0740205,53.89812375,NaN,NaN
2022-01-14T09:43:00-05:00,19.04,19.045,19.01,19.01,829,3530.9,-77096.53017,60.36552186,55.19470163,NaN,NaN
2022-01-14T09:47:00-05:00,19.07,19.09,19.06,19.09,6356,3808.7,-70740.53017,65.3427597,57.05210446,NaN,NaN
2022-01-14T09:48:00-05:00,19.085,19.15,19.08,19.08,5688,3933.55,-76428.53017,64.25651637,58.83191848,NaN,NaN
2022-01-14T09:49:00-05:00,19.13,19.13,19.1,19.13,1200,3886.75,-75228.53017,67.19314443,61.49601216,NaN,NaN
2022-01-14T09:50:00-05:00,19.1,19.112,19.1,19.112,925,3786.65,-74303.53017,65.11896307,64.20295915,NaN,NaN
2022-01-14T09:53:00-05:00,19.12,19.12,19.08,19.1,1807,3703.7,-74303.53017,63.70706678,65.75357565,NaN,NaN
2022-01-14T09:54:00-05:00,19.1,19.11,19.1,19.105,900,3638.3,-74303.53017,64.05675902,66.74797421,NaN,NaN
2022-01-14T09:55:00-05:00,19.11,19.15,19.11,19.15,2360,3671.6,-71943.53017,67.12672843,67.37508307,NaN,NaN
2022-01-14T09:56:00-05:00,19.14,19.15,19.13,19.14,1364,3482.9,-71943.53017,65.78211691,67.09067016,NaN,NaN
2022-01-14T09:57:00-05:00,19.16,19.16,19.16,19.16,200,3233.35,-71943.53017,67.19734057,66.6541526,NaN,NaN
2022-01-14T09:58:00-05:00,19.16,19.16,19.16,19.16,200,3238.35,-71943.53017,67.19734057,66.09735909,NaN,NaN
2022-01-14T09:59:00-05:00,19.16,19.16,19.16,19.16,100,3228.35,-71943.53017,67.19734057,65.88133684,NaN,NaN
2022-01-14T10:00:00-05:00,19.1216,19.1216,19.06,19.06,1016,3194.15,-72959.53017,53.40399181,64.6442579,NaN,NaN
2022-01-14T10:01:00-05:00,19.075,19.075,19.025,19.025,650,2906.65,-73609.53017,49.56886823,63.39388988,NaN,NaN
2022-01-14T10:02:00-05:00,19.02,19.02,19.01,19.01,300,2328.8,-73909.53017,47.97863286,62.50911209,NaN,NaN
2022-01-14T10:03:00-05:00,18.99,18.992,18.99,18.992,200,1861.95,-73709.53017,46.06867386,61.13239168,NaN,NaN
2022-01-14T10:04:00-05:00,19.0067,19.02,18.99,19.02,1275,1795.7,-72434.53017,49.44038342,60.07409647,NaN,NaN
2022-01-14T10:05:00-05:00,19.05,19.08,19.05,19.08,497,1815.55,-71937.53017,55.81509945,59.26137897,NaN,NaN
2022-01-14T10:06:00-05:00,19.1,19.1,19.1,19.1,100,1583.35,-71937.53017,57.72834095,58.73347739,NaN,NaN
2022-01-14T10:07:00-05:00,19.1089,19.1089,19.1089,19.1089,261,1311.4,-71937.53017,58.5876909,58.36780768,NaN,NaN
2022-01-14T10:10:00-05:00,19.1226,19.1226,19.1226,19.1226,104,1275.15,-71937.53017,59.93780581,58.07359674,NaN,NaN
2022-01-14T10:11:00-05:00,19.1006,19.14,19.1006,19.14,1000,1007.35,-70937.53017,61.64798961,57.68225825,NaN,NaN
2022-01-14T10:12:00-05:00,19.12,19.15,19.12,19.15,700,757.95,-70237.53017,62.6351921,57.45747791,NaN,NaN
2022-01-14T10:14:00-05:00,19.12,19.12,19.11,19.12,900,742.95,-69337.53017,57.82625482,56.78811464,NaN,NaN
2022-01-14T10:15:00-05:00,19.12,19.14,19.095,19.095,825,737.95,-70162.53017,54.09872467,55.85249922,NaN,NaN
2022-01-14T10:18:00-05:00,19.12,19.12,19.12,19.12,600,677.6,-70162.53017,57.07832134,55.12971213,NaN,NaN
2022-01-14T10:19:00-05:00,19.16,19.16,19.16,19.16,288,647,-70162.53017,61.39617334,55.70058224,NaN,NaN
